@relation marketing_training_predicted

@attribute custAge numeric
@attribute profession {admin.,blue-collar,technician,management,services,unemployed,housemaid,unknown,self-employed,retired,student,entrepreneur}
@attribute marital {single,married,divorced,unknown}
@attribute schooling {university.degree,high.school,basic.4y,basic.9y,professional.course,basic.6y,unknown,illiterate}
@attribute default {unknown,no,yes}
@attribute housing {no,yes,unknown}
@attribute loan {no,yes,unknown}
@attribute contact {cellular,telephone}
@attribute month {nov,jul,may,aug,apr,jun,mar,oct,sep,dec}
@attribute day_of_week {mon,wed,tue,fri,thu}
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome {nonexistent,failure,success}
@attribute emp.var.rate numeric
@attribute cons.price.idx numeric
@attribute cons.conf.idx numeric
@attribute euribor3m numeric
@attribute nr.employed numeric
@attribute pmonths numeric
@attribute pastEmail numeric
@attribute 'prediction margin' numeric
@attribute 'predicted responded' {no,yes}
@attribute responded {no,yes}

@data
?,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,?,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,0.945499,no,no
?,blue-collar,divorced,?,no,no,yes,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,0.86401,no,no
27,admin.,single,university.degree,unknown,yes,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,0.889738,no,no
?,retired,married,?,unknown,unknown,unknown,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,0.938463,no,no
27,blue-collar,single,high.school,no,no,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,0.855806,no,no
38,blue-collar,divorced,?,no,yes,yes,cellular,jun,mon,2,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,999,0,0.342416,no,no
?,management,married,professional.course,no,unknown,unknown,cellular,may,fri,3,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,999,2,0.881053,no,no
?,retired,married,basic.4y,no,no,no,cellular,sep,mon,2,999,0,nonexistent,-1.1,94.199,-37.5,0.882,4963.6,999,0,0.15465,no,no
31,blue-collar,married,basic.9y,no,yes,no,telephone,jun,tue,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999,0,0.888822,no,no
30,admin.,single,high.school,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,0.838,no,no
52,blue-collar,married,unknown,unknown,yes,no,telephone,jun,thu,3,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,999,0,0.866591,no,no
45,admin.,single,high.school,no,yes,no,cellular,may,tue,3,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,999,0,0.724306,no,no
?,services,divorced,?,no,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999,0,0.888501,no,no
37,blue-collar,married,professional.course,no,no,no,cellular,may,?,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,999,0,0.710147,no,no
33,blue-collar,single,?,no,yes,no,cellular,may,fri,2,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,999,1,0.806651,no,no
?,services,single,high.school,unknown,no,no,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,999,0,0.829895,no,no
49,blue-collar,married,basic.4y,no,no,yes,telephone,jul,mon,15,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0,0.981007,no,no
36,admin.,single,university.degree,no,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,0.87887,no,no
47,management,married,?,no,yes,no,telephone,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,999,0,0.948887,no,no
33,admin.,married,high.school,no,no,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,999,0,0.713733,no,no
26,blue-collar,single,basic.6y,unknown,yes,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,0.867106,no,no
?,technician,married,?,no,yes,no,cellular,nov,tue,1,1,4,success,-1.1,94.767,-50.8,1.046,4963.6,0.033333,4,-0.148241,yes,no
?,admin.,married,high.school,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,999,0,0.316245,no,no
29,blue-collar,married,basic.9y,no,no,no,cellular,jul,?,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.895566,no,no
45,admin.,divorced,high.school,no,yes,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.85184,no,no
?,blue-collar,married,high.school,no,no,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,0.876525,no,no
34,management,married,university.degree,no,no,no,cellular,may,wed,3,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,999,2,0.856152,no,no
?,blue-collar,married,?,unknown,yes,no,cellular,may,wed,2,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,999,2,0.866451,no,no
39,technician,single,professional.course,no,no,no,telephone,may,?,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,999,0,0.898484,no,no
?,admin.,married,high.school,no,no,no,telephone,jul,?,1,999,1,failure,-1.7,94.215,-40.3,0.876,4991.6,999,4,0.648142,no,no
29,admin.,single,university.degree,no,yes,no,telephone,jul,thu,12,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.960461,no,no
33,admin.,single,university.degree,no,no,no,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,0.896927,no,no
31,technician,married,high.school,no,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,0.927192,no,no
44,self-employed,married,university.degree,no,yes,no,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,999,2,0.856668,no,no
35,admin.,single,university.degree,no,no,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999,0,0.84194,no,no
43,technician,single,professional.course,no,unknown,unknown,telephone,jun,wed,3,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,999,0,0.911706,no,no
?,admin.,married,?,no,no,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0,0.875658,no,no
46,admin.,single,university.degree,no,yes,no,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,0.857499,no,no
29,technician,single,high.school,no,yes,no,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,0.93031,no,no
32,admin.,single,university.degree,no,no,no,telephone,jul,thu,1,999,0,nonexistent,-1.7,94.215,-40.3,0.81,4991.6,999,0,0.294225,no,no
?,admin.,single,university.degree,no,yes,no,cellular,sep,mon,4,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,999,0,0.080843,no,no
36,blue-collar,married,basic.9y,no,yes,no,cellular,nov,thu,4,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0,0.903836,no,no
?,admin.,married,university.degree,no,yes,yes,cellular,apr,tue,1,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,999,0,0.527182,no,no
52,retired,divorced,basic.4y,no,yes,yes,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,0.921045,no,no
?,admin.,married,university.degree,no,yes,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,999,0,0.869796,no,no
46,entrepreneur,married,basic.4y,no,no,no,cellular,nov,?,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,0.91743,no,no
?,services,married,?,no,yes,no,cellular,apr,thu,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,999,0,0.589299,no,no
?,technician,married,professional.course,no,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,0.927659,no,no
49,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,tue,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,0.926538,no,no
45,admin.,married,basic.6y,no,no,yes,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.854137,no,no
55,admin.,married,university.degree,no,unknown,unknown,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0,0.91424,no,no
37,admin.,divorced,?,no,no,yes,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,999,0,0.768765,no,no
?,blue-collar,divorced,basic.4y,unknown,yes,no,cellular,may,wed,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,999,0,0.82424,no,no
49,retired,single,basic.4y,unknown,no,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,0.889404,no,no
46,management,married,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.922254,no,no
39,technician,divorced,professional.course,no,no,yes,cellular,may,wed,2,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,999,0,0.888116,no,no
71,retired,divorced,?,no,yes,no,telephone,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,999,0,0.639969,no,no
32,technician,single,?,no,no,no,telephone,jul,wed,11,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,0.965868,no,no
?,retired,divorced,basic.4y,no,yes,yes,cellular,mar,wed,3,999,0,nonexistent,-1.8,92.843,-50,1.663,5099.1,999,0,0.238146,no,no
32,admin.,married,?,no,yes,no,cellular,aug,fri,5,999,0,nonexistent,-2.9,92.201,-31.4,0.869,5076.2,999,0,0.412573,no,no
46,entrepreneur,married,high.school,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,-2.9,92.201,-31.4,0.861,5076.2,999,0,0.328894,no,no
49,blue-collar,married,basic.4y,unknown,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0,0.948375,no,no
?,technician,married,professional.course,no,yes,yes,telephone,oct,mon,1,999,0,nonexistent,-0.1,93.798,-40.4,5,5195.8,999,0,0.646075,no,no
38,management,divorced,university.degree,no,no,no,telephone,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,0.95432,no,no
39,technician,married,unknown,no,yes,yes,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,999,3,0.853677,no,no
45,blue-collar,married,basic.9y,no,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,0.439012,no,no
48,technician,married,?,no,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.926171,no,no
37,admin.,married,?,no,no,no,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,0.904069,no,no
31,technician,single,?,no,no,no,telephone,apr,tue,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,0.813703,no,no
51,entrepreneur,single,?,no,no,yes,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,999,1,0.817296,no,no
44,admin.,divorced,university.degree,unknown,yes,yes,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,0.944354,no,no
31,technician,single,?,no,yes,yes,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,0.918662,no,no
24,services,single,high.school,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.93847,no,no
43,technician,married,high.school,no,yes,no,telephone,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,0.965813,no,no
?,technician,single,unknown,no,no,no,telephone,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,0.951569,no,no
43,admin.,single,university.degree,no,yes,yes,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,999,0,0.903182,no,no
54,admin.,married,?,no,yes,no,cellular,aug,tue,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,0.904297,no,no
?,retired,married,?,no,yes,no,telephone,oct,wed,1,999,0,nonexistent,-3.4,92.431,-26.9,0.724,5017.5,999,0,0.282163,no,no
29,blue-collar,married,?,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,0.827762,no,no
51,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,0.958156,no,no
36,admin.,married,university.degree,no,yes,no,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,999,0,0.699755,no,no
53,management,married,?,no,no,no,cellular,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0,0.878907,no,no
36,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.939691,no,no
36,services,divorced,university.degree,no,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,0.948747,no,no
55,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,thu,6,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0,0.931468,no,no
45,unemployed,married,university.degree,no,yes,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.894214,no,no
35,management,married,university.degree,no,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,999,0,0.489295,no,no
46,services,married,high.school,unknown,no,no,cellular,aug,tue,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,0.957704,no,no
